CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
52929815,CC(C)C=CCC(C)CCCC(C)CCC=CCCC=CCCCC(=O)O,8.4,376.334130642,37.3,1,2
63482700,CCN(CC(C)(C)CNC(C)(C)C)C1=CC=CC=C1C,4.5,276.256549029,15.3,1,2
87656766,CCCCCC=CCC1C(O1)CCCCCCCC=O,5.5,280.240230259,29.6,0,2
85265069,CC(C=CC1=CC=CC=C1)C2=C(C=CC3=CC=CC=C32)O,5.7,274.135765193,20.2,1,1
13396822,CC1C2=CC=CC=C2C(C3=CC=CC4=C3C1=CC=C4)C(C)C,6.5,286.172150702,0.0,0,0
18549094,C1C(CC2C1CC(=O)C2)NCC3=CC=CC=C3,1.8,229.14666423,29.1,1,2
43844955,CC1=CC=C(C=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C,2.8,336.15862589,80.0,2,4
92803703,COC1=CC=C(C=C1)CN(C2CC2)C(=O)C3CCCN(C3)C(=O)C4=CC=CC5=CC=CC=C54,4.6,442.22564282,49.9,0,3
107075733,CC1COC(CN1C(=O)C2=C(C=CC(=C2)O)N)CO,0.3,266.12665706,96.0,3,5
61247424,CC(C)CC(CO)NC1=C(C=C2CC(=O)NC2=C1)N,1.1,263.16337692,87.4,4,4
70655661,CN(C)CCN(C)C(C1=CC(=CC=C1)OC)O,1.2,238.168127949,35.9,1,4
15290550,CCCCCC(C1=CC=CC=C1)ON,3.2,193.14666423,35.3,1,2
104690435,CCC1CCCCCN1C2=C(C=C(C=C2)C=O)[N+](=O)[O-],3.5,276.1473925,66.1,0,4
99937588,C1CCN(C(C1)CN2CCCC2)CC3=CN=C(N=C3)NCC4=CC=CC=C4,3.3,365.25794601,44.3,1,5
67642756,C=CC(=O)O.C1=CC(=O)C=CC1=O,,180.04225873,71.4,1,4
72226871,CN(C)C1=CC=CC(=C1OC2CC2)C(=O)O,2.1,221.10519334,49.8,1,4
33746334,COC1=CC=C(C=C1)CN2CCCN(CC2)C(=O)CN3CCCC3C4=CC=C(C=C4)OC,3.4,437.26784199,45.3,0,5
13210065,CN1CCC(CC1)O[N+](=O)[O-],1.1,160.08479225,58.3,0,4
90914601,CCC(C#C)(C(C)O)O,0.2,128.083729621,40.5,2,2
23317186,CCCCC1CCC(CC1)C#CC2=NN=C(C=C2)CCC,5.9,284.225248902,25.8,0,2
40384156,CC(C)C1=NC2=C(O1)C=CC(=C2)NC(=O)C3=CC(=C(C=C3)N)[N+](=O)[O-],3.5,340.117155,127.0,2,6
68728939,CC(C)C(=O)C=C(C1=CC=CO1)N,1.8,179.094628657,56.2,1,3
105741878,CC1C(CCO1)CNC2=CC(=CC(=C2)OC(C)C)[N+](=O)[O-],3.2,294.15795719,76.3,1,5
65102694,CCC(CC)(CNC1=CC=C(C=C1)N)O,2.2,208.157563266,58.3,3,3
107138641,CC1(CCCC1)C(=O)C2CCCOC2,2.2,196.146329876,26.3,0,2
32400372,CN1CCN(C2=NC3=CC=CC=C3N=C21)C(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,4.3,396.15862589,58.6,0,5
102175575,C1C2=C3C(=C4CC(=O)C4=C2C1=O)C(=O)C3=O,-1.7,212.0109586,68.3,0,4
104651615,CC(C)CCN(C)C1=CC=C(O1)C(=O)C,3.1,209.141578849,33.5,0,3
5325572,CCCCOC1=CC=C(C=C1)[N+]#N,3.9,177.102788042,37.4,0,2
24972873,COC1=CC(=C(C=C1)[N+](=O)[O-])CN2CCC(C2=O)O,0.5,266.09027155,95.6,1,5
60899732,CCC1=CC=CC=C1NCC(COC(C)(C)C)O,2.9,251.18852904,41.5,2,3
51019503,C1CC2C(CC1C2=O)C3=CC=C(C=C3)N,1.7,201.115364102,43.1,1,2
42292445,C1CC(C[NH+](C1)CC2=CC3=C(C=C2)OCC3)NC4=CC=CC=C4,4.0,309.196688425,25.7,2,2
53630667,[CH2-][O+]=C=C,0.8,56.026214747,1.0,0,1
85640139,C1=CC2=CC(=CC2=C1)C=CC=CC=CC=CC3=CC4=CC=CC4=C3,5.3,306.140850574,0.0,0,0
12873315,CC12C3=CC=C4C1(C(=C5CCC6=CC=CC7=C6C5=C4C=C7)C=CC2=CC=C3)C,7.7,358.172150702,0.0,0,0
105256123,CC1=CC=CC=C1CC(C2(CCCCO2)C)NN,2.4,248.188863393,47.3,2,3
85658930,C1=CC=C(C=C1)C(=O)C(=CC2=C(C=C(C=C2O)O)O)O,2.5,272.06847348,98.0,4,5
84798623,CC1=CC(=CC=C1)N2C3=C(C=CC=C3N=C2N)C,3.5,237.126597491,43.8,1,2
72172378,CC1=CC(=C(C2=C1C(=O)C(=CC3=CC=CC=C3)O2)CN4CCN(CC4)CCO)O,2.6,394.18925731,73.2,2,6
69001352,CC1C=C2CCCCC2(C3C1C4CCC(C4(CC3)C)(O)O)C,4.5,304.240230259,40.5,2,2
102967175,CCNCC1(CCOC1)CN2CCC(C(C2)OC)C,1.1,270.230728204,33.7,1,4
94511972,CC(C)N(CCO)CC1CCCCCC1NC,2.2,242.235813585,35.5,2,3
130119687,C1=CN=C2C(=N1)C=NN=C2N,-1.2,147.05449518,77.6,1,5
130484922,CC1=NC=C(C(=N1)N(CC2=CC=CC=C2)CC3=CC=CC=C3)CN,2.9,318.18444672,55.0,1,4
21411794,C1CC2=CC=CC=C2C1CC3=CC=CC=C3C(=O)O,4.0,252.115029749,37.3,1,2
88524336,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)NO,2.1,228.08987763,61.4,3,3
65985421,CC1=CC(=C(C=C1)OC)CC(CNC(C)(C)C)O,2.5,251.18852904,41.5,2,3
122197485,C1CC2C3C4=C(CC(N2C1)C5=C3C=C(C=C5)O)C=CC(=C4)O,3.2,293.141578849,43.7,2,3
28371631,CCC[NH+](CCC)C(CC)(CC)C[NH3+],2.8,202.240898965,32.1,2,0
29114656,C1C=CC2C1C(NC3=C2C=C(C=C3)[N+](=O)[O-])C4=C(C=C(C=C4)O)O,3.5,324.111007,98.3,3,5
118891639,C1C=CC(COCO1)OCCO,-0.5,174.08920892,47.9,1,4
15644311,CC1=NC2=CC=CC=C2N=C1C(=O)C3=CC4=CC=CC=C4C=C3,4.5,298.110613074,42.9,0,3
43376688,C1=CC=C(C(=C1)C(=O)N)OCC2=C(C=C(C=C2)C(=O)N)N,0.5,285.11134135,121.0,3,4
14167428,CC(C)CCC(=CC(C)O)C=O,1.8,170.130679813,37.3,1,2
12564216,CC1CCC(=O)C(=C1CCCC(=O)O)C,1.3,210.125594432,54.4,1,3
44859976,CCCCN1C(C(=C(C2=CC=C(C=C2)OCCC)O)C(=O)C1=O)C3=CC(=CC=C3)[N+](=O)[O-],4.9,438.17908655,113.0,1,6
87571638,CCCCCCCCCCCC(=O)O.CCCCCCCCCCCC(=O)O.C=C,,428.38656014,74.6,2,4
116679360,CCCN(CC)CC(=C1CNC1)C,1.2,182.17829871,15.3,1,2
